"zcta","medincome","total_pop1","median_rent","total_hholds1","over16total_industry1","total_commute1","drove_commute","pubtrans_bus_commute","taxi_commute","bicycle_commute","walked_commute","workhome_commute","unemployed","hisplat_raceethnic","nonhispLat_white_raceethnic","nonhispLat_black_raceethnic","nonhispLat_amerindian_raceethnic","nonhispLat_asian_raceethnic","age65_plus","not_insured","snap_hholds","fpl_150","not_quarantined_jobs","Positive","Total","modzcta_cum_perc_pos","total_res_volume_zcta","essentialworker_drove","essentialworker_pubtrans","grocers","pop_density","avg_hhold_size","pos_per_100000","testing_ratio","res_vol_zctadensity","res_vol_popdensity","pubtrans_ferrysubway_commute","grocers_per_1000","valid_var","didnot_workhome_commute","one_over_grocers_per_1000","one_over_medincome","Borough","Neighborhood"
"10001",88526,22924,2065,12431,14360,14265,4.08,2.93,2.24,3.74,32.21,6.44,4.76,14.16,53.14,5.62,0.16,25,736,4.31,9.67,18.79,12.08,365,2373,15.4,189531659.342359,0.63,6.3,4,0.0012433945343379,1.84,1592,0.103515965800035,10.2801705335143,0.000120950769278031,44.25,0.174489617867737,"0",0.15527950310559,5.731,1.12961163951833e-05,NA,NA
"10002",35859,74993,963,33540,33532,32804,8.64,6.04,1.13,4.94,25.56,4.24,7.54,27.19,21.96,7,0.44,41.13,1110,5.9,32.61,42.31,18.73,1053,5047,20.9,273144173.767362,1.46,10.15,9,0.00305449939209828,2.24,1404,0.0672996146306989,11.1252878632351,0.000274554638913411,47.48,0.120011201045431,"0",0.235849056603774,8.33255555555556,2.78870018684291e-05,NA,NA
"10003",112131,54682,2298,26124,32394,32054,5.89,2.7,2.83,4.3,27.06,7.68,6.01,8.24,70.45,5.41,0.1,13.47,1778,3.9,2.36,9.08,12.95,450,3697,12.2,276846549.492187,1.01,5.85,12,0.00339112757689663,2.09,823,0.0676090852565744,17.1687569685021,0.000197517361514174,46.9,0.219450641893128,"0",0.130208333333333,4.55683333333333,8.91814038936601e-06,NA,NA
"10004",157645,3028,3235,1659,2076,2065,8.47,0.53,0.77,0.29,24.36,11.77,4.67,3.7,60.57,1.55,0,29.69,78,4.92,0,3.14,12.25,31,256,12.1,4856795.38465288,1.88,5.3,1,0.000736485921151513,1.83,1024,0.0845442536327609,1.1812950537353,0.000623456365810316,51.96,0.330250990752972,"0",0.0849617672047579,3.028,6.34336642456151e-06,NA,NA
"10005",173333,8831,3226,4374,6762,6697,1.81,0.91,1.08,0,29.91,4.36,3.24,6.88,69.44,2.48,0,16.95,8,2.68,0,11.06,8.69,61,567,10.8,48242664.9013685,0.44,5.94,1,0.0042437429899918,2.02,691,0.0642056392254558,23.183045067796,0.000183053735071536,61.14,0.113237458951421,"0",0.229357798165138,8.831,5.76924186392666e-06,NA,NA
"10006",176250,3454,3229,1794,2647,2574,4.9,0,0.62,1.24,29.68,7.03,0.6,11.99,63.2,1.04,0,19.89,16,2.08,0,5.56,11.55,24,258,9.3,27913078.76907,0,9.6,0,0.00127403007360281,1.93,695,0.0746960046323104,10.295918297232,0.000123741276574167,54.74,0,"0",0.142247510668563,0,5.67375886524823e-06,NA,NA
"10007",246813,7023,3394,2731,3813,3813,6.19,1.97,5.59,2.31,25.54,4.67,2.88,8.26,71.99,4.19,0,11.76,107,0.58,2.31,4.29,11.22,58,611,9.5,39804959.2421893,1.81,4.62,2,0.00138756020565206,2.57,826,0.0869998576107077,7.86441370241551,0.000176435301874554,50.56,0.284778584650434,"0",0.214132762312634,3.5115,4.05165043980665e-06,NA,NA
"10009",61548,57925,1642,29728,32075,31458,5.08,9.92,2.16,6.92,20.45,6.02,4.18,24.77,51.23,8.52,0.07,12.82,1782,5.61,16.49,30.54,14.43,689,4627,14.9,262502455.594997,1.37,8.16,6,0.00342481992571946,1.95,1189,0.0798791540785499,15.5204771769017,0.000220664602427072,48.38,0.103582218385844,"0",0.166112956810631,9.65416666666667,1.62474816403457e-05,NA,NA
"10010",117923,33730,2590,16390,20602,20577,5.51,8.91,2.41,3.65,25.6,6.84,4.17,10.98,63.95,5.12,0.68,17.12,1310,3.55,4.91,14.67,13.62,267,2771,9.6,192460847.867346,1.46,6.31,8,0.00320606774697421,2.06,792,0.0821523865994663,18.2935818826804,0.00017525642422218,44.48,0.237177586718055,"0",0.146198830409357,4.21625,8.48010990222433e-06,NA,NA
"10011",128613,50472,2115,29128,33579,32943,6.3,1.79,3.14,2.63,24.96,7.03,3.86,11.3,71.48,4.72,0,9.17,2755,3.69,6.92,14.01,12.29,521,3829,13.6,268472660.642911,0.74,6.29,10,0.00290778531980649,1.73,1032,0.0758638453003646,15.4672067955866,0.00018799679594613,51.76,0.198129656046917,"0",0.142247510668563,5.0472,7.77526377582359e-06,NA,NA
"10012",109037,23411,2280,12041,14756,14604,4.62,1.2,2.24,4.72,28.09,8.61,3.54,6.38,69.76,2.55,0.11,17.32,984,5.08,4.52,14.54,13.97,162,1412,11.5,122980330.702954,0.47,5.46,5,0.00260230362394997,1.94,692,0.0603135278287984,13.6701619009381,0.000190363774972657,47.62,0.213574815257785,"0",0.116144018583043,4.6822,9.17119876739089e-06,NA,NA
"10013",105442,28709,1571,11986,15686,15346,6.33,0.62,3.37,2.86,31.26,9.67,3.67,6.02,52.39,3.64,0.21,33.25,908,4.93,15.58,18.05,11.74,261,1999,13.1,175588134.409237,0.76,5.85,14,0.00190008475559925,2.4,909,0.0696297328363928,11.6211758492147,0.000163501936486715,42.88,0.487651955832666,"0",0.103412616339193,2.05064285714286,9.48388687619734e-06,NA,NA
"10014",126601,30738,2313,18229,20523,20338,6.75,1.57,3.71,4.24,20.79,10.47,5.54,6.66,83.89,1.01,0,5.61,1374,3.5,3.24,8.79,10.23,299,2369,12.6,190396691.737888,1.14,5.41,2,0.00218437774086522,1.69,973,0.0770707267876895,13.5304279838187,0.000161441880735595,50.14,0.0650660420326631,"0",0.0955109837631328,15.369,7.89883176278228e-06,NA,NA
"10016",117004,51057,2550,28916,34555,34235,4.44,6.13,3,0.79,44.62,5.93,3.85,6.94,66.27,3.49,0.06,19.09,2209,3.45,3.96,12.95,11.14,686,5063,13.5,322931970.125817,0.63,4.07,5,0.00343979632190935,1.77,1344,0.0991636798088411,21.7564722381989,0.000158104507212797,30.83,0.097929764772705,"0",0.168634064080944,10.2114,8.54671635157772e-06,NA,NA
"10017",127506,15801,2309,9905,10959,10930,6.38,3.63,1.78,0.74,43.49,8.14,3.01,5.9,68.51,2.24,0,21.21,1202,3.87,1.97,10.56,11.92,143,1293,11.1,98302219.0422318,1.93,5.42,3,0.00155856407334772,1.6,905,0.0818302639073476,9.69624118281,0.000160738996066932,30.86,0.189861401177141,"0",0.122850122850123,5.267,7.84276818345803e-06,NA,NA
"10018",108914,9687,3163,5095,6657,6546,2.52,3.88,2.92,0.79,42.97,5.16,3.8,15.19,47.6,4.46,0,29.6,154,6,5.1,19.15,10.95,204,1247,16.4,85246917.6097558,0.56,5.29,2,0.00111732191535829,1.9,2106,0.12872922473418,9.83258483143626,0.000113634607228208,38.59,0.206462269020337,"0",0.193798449612403,4.8435,9.18155609012615e-06,NA,NA
"10019",98833,43703,2139,25428,28937,28653,6.22,4.4,2.46,2.38,35.99,7.39,5.63,16.77,56.71,5.33,0.16,17.28,1885,4.46,8.81,17.5,11.06,598,4008,14.9,314184068.859429,0.76,5.68,12,0.00225823063395422,1.72,1368,0.0917099512619271,16.2345854746526,0.000139099987337529,37.68,0.274580692400979,"0",0.13531799729364,3.64191666666667,1.01180779699088e-05,NA,NA
"10021",118289,46215,2149,24996,26342,25695,13.29,6.61,5.93,1.66,26.11,6.88,2.14,7.93,79.29,0.58,0.34,9.38,3144,4.12,1.64,6.29,18.4,561,4291,13.1,361213477.001932,3.72,4.65,4,0.00434906008920783,1.85,1214,0.0928486422157308,33.9919748244747,0.000127943731179645,36.58,0.0865519852861625,"0",0.145348837209302,11.55375,8.45387145043072e-06,NA,NA
"10022",135363,31125,2514,18049,19791,19573,7.15,6.31,4.85,0.54,38.23,9.54,2.52,5.42,78.78,1.2,0.2,12.21,2905,1.36,0.77,5.81,12.7,338,2804,12.1,304400380.957897,1.4,5.78,4,0.00252659356416413,1.72,1086,0.0900883534136546,24.7099130428059,0.00010225020054855,30.53,0.1285140562249,"0",0.10482180293501,7.78125,7.38754312478299e-06,NA,NA
"10023",130452,62435,2321,33693,35596,34818,7.96,5.59,4.58,2.62,17.55,8.99,4.68,10.51,72.46,3.76,0.08,10.63,4502,2.93,3.66,11.28,14.48,558,4722,11.8,359870115.451854,1.54,8.2,4,0.00454428404253591,1.85,894,0.0756306558821174,26.1928729564093,0.000173493150220619,47.22,0.0640666292944662,"0",0.111234705228031,15.60875,7.66565480023304e-06,NA,NA
"10024",131668,59001,2174,28751,34684,33932,6.37,5.9,4.15,1.86,8.45,10.38,2.67,10.88,76.79,2.93,0,7.24,3624,3.66,4.54,11.54,14.89,691,4880,14.2,402726477.745362,0.84,9.81,5,0.00248485946041489,2.05,1171,0.0827104625345333,16.961046392182,0.000146503900936222,59.79,0.0847443263673497,"0",0.0963391136801541,11.8002,7.59485979888811e-06,NA,NA
"10025",85930,92805,1531,41910,47943,46587,8.08,4.73,2.36,1.72,11.27,9.73,7.16,23.42,54.6,9.91,0.05,8.91,4654,4.33,12.48,20.38,19.31,1338,8539,15.7,446473227.39851,1.48,11.25,10,0.00443062812227763,2.21,1442,0.092010128764614,21.3151967798707,0.000207862407653762,59.99,0.107752815042293,"0",0.102774922918808,9.2805,1.16373792621902e-05,NA,NA
"10026",58884,39363,1163,15458,19622,19310,6.42,7.02,1.23,1.09,6.25,5.45,7.5,21.31,19.67,50.29,0.05,5.86,555,5.85,14.53,32.3,20.92,639,3141,20.3,142435796.366464,1.65,15.15,4,0.00423928601044569,2.55,1623,0.0797957472753601,15.3399405259518,0.000276356091685867,70.69,0.10161827096512,"0",0.18348623853211,9.84075,1.69825419468786e-05,NA,NA
"10027",46113,64548,1193,23811,27326,26789,9.89,6.3,0.81,1.66,14.93,6.85,5.95,25.45,25.09,36.75,0.13,9.48,994,7.32,12.25,32.77,22.24,1026,4767,21.5,302125622.988921,2.7,12,9,0.00265618620658954,2.71,1590,0.0738520171035508,12.4326379196945,0.000213646228881312,57.42,0.139431121026213,"0",0.145985401459854,7.172,2.16858586515733e-05,NA,NA
"10028",125140,47793,2329,25318,30805,30326,8.14,11.95,4.75,1.5,15.71,6.65,2.67,7.39,80.95,0.82,0.02,9.43,3160,3.06,1.36,6.99,14.05,468,3707,12.6,355619452.824647,1.65,7.54,6,0.00545682108915671,1.89,979,0.0775636599502019,40.6032626093341,0.000134393660471567,49.08,0.125541397275752,"0",0.150375939849624,7.9655,7.99105002397315e-06,NA,NA
"10029",34016,79597,923,31690,32257,31643,7.29,11.75,0.93,1.15,15.78,4.22,12.07,47.89,15.47,25.83,0.05,9.29,814,7.4,33.9,45.35,20.87,1812,7494,24.2,390235304.155227,1.93,13.14,9,0.00352212050265424,2.51,2276,0.0941492769828009,17.2676830235391,0.000203971806631668,56.73,0.113069588049801,"0",0.23696682464455,8.84411111111111,2.93979303857008e-05,NA,NA
"10030",37232,29882,988,12736,14041,13617,11.13,9.11,0.29,0.4,9.1,4.95,14.13,25.62,10.77,57.22,0.07,1.79,417,8.26,33.52,40.85,22.08,500,2257,22.2,121555659.465236,3.31,13.27,3,0.00388934385902016,2.35,1673,0.0755304196506258,15.8212889923787,0.000245829771575103,61.49,0.100394886553778,"0",0.202020202020202,9.96066666666667,2.68586162440911e-05,NA,NA
"10031",49891,60254,1365,21959,33604,32650,8,7.08,0.64,1.31,5.37,5.59,7.38,51.37,17.4,23.72,0.1,3.78,861,12.2,27.67,36.59,18.79,1312,5630,23.3,223299127.628236,1.87,13.23,5,0.0033346113778116,2.74,2177,0.0934377800643941,12.3579482133057,0.000269835357800031,70.1,0.0829820426859628,"0",0.178890876565295,12.0508,2.00436952556573e-05,NA,NA
"10032",50391,64264,1219,21222,34416,33329,10.62,6.58,0.71,2.18,13.3,5.34,9.31,66.28,14.06,13.6,0.11,4.49,1240,13.33,32.9,36.25,22.68,1511,6281,24.1,248391655.435619,2.36,12.5,4,0.00353166080273177,3.03,2351,0.0977374579858085,13.6504897489672,0.00025872044649526,59.07,0.0622432466077431,"0",0.187265917602996,16.066,1.98448135579766e-05,NA,NA
"10033",58614,59607,1412,19652,30019,29082,14.1,9.88,0.57,0.62,10.36,4.92,10.68,68.52,23.64,4.11,0.03,2.08,1056,8.22,29.43,30.19,22.13,1344,5648,23.8,228081906.742907,2.91,13.51,7,0.00359196025685231,3.03,2255,0.0947539718489439,13.7443780818967,0.000261340326601131,58.08,0.117435871625816,"0",0.203252032520325,8.51528571428571,1.70607704643942e-05,NA,NA
"10034",54716,42910,1330,16095,21864,21186,11.4,7.69,0.66,0.24,10.48,6.54,8.46,69.74,20.11,5.43,0.03,3.02,964,9.45,30.75,33.78,20.94,707,3388,20.9,148797102.867722,2.19,13.89,6,0.00142637969409693,2.67,1648,0.0789559543230016,4.94619356958682,0.000288379270651165,60.57,0.139827546026567,"0",0.152905198776758,7.15166666666667,1.82761897799547e-05,NA,NA
"10035",30081,35743,866,14428,13896,13760,10.65,8.16,0.76,1.59,9.39,4.75,8.34,44.58,10.18,37.01,0.15,4.43,342,10.95,22.37,50.03,21.49,950,3956,24,156213183.012867,3.33,14.54,5,0.000901688574128575,2.48,2658,0.110679014072686,3.94078958819792,0.000228809113998118,62.48,0.139887530425538,"0",0.210526315789474,7.1486,3.3243575679e-05,NA,NA
"10036",91936,27428,2151,16183,19172,18858,4.63,7.05,3.02,3.12,34.18,6.08,5.03,21.54,51.41,6.29,0.14,19.02,711,5.85,10.4,21.41,12.78,416,2667,15.6,166297438.849147,0.67,7.08,4,0.00217685269386488,1.69,1517,0.0972364007583491,13.1983749358902,0.000164933387969256,38.45,0.145836371591075,"0",0.164473684210526,6.857,1.08771319178559e-05,NA,NA
"10037",45041,21139,1153,9731,8667,8534,13.21,5.84,1.7,0.23,8.72,4.97,14.39,21.37,5.9,67.81,0,2.5,310,6.74,22.18,40.64,25.76,539,2656,20.3,88331571.1480737,4.88,15.68,3,0.00294553867728004,2.17,2550,0.125644543261271,12.3082482256287,0.00023931420810532,63.17,0.141917782298122,"0",0.201207243460765,7.04633333333333,2.22019937390378e-05,NA,NA
"10038",86058,22800,2396,10210,12277,12105,6.65,1.05,0.95,2.26,29.01,5.7,6.02,14.11,44.95,6.83,0.21,31,406,4.51,17.85,26.91,12.14,250,1524,16.4,133687681.184921,1.79,6.1,5,0.00296080978666915,2.23,1096,0.0668421052631579,17.3606927547991,0.000170546753432445,52.36,0.219298245614035,"0",0.175438596491228,4.56,1.16200701852239e-05,NA,NA
"10039",39653,27726,931,11210,12001,11711,11.82,6.34,0.54,1.17,5.85,4.03,15.63,33.82,6.75,55.09,0.29,1.63,223,8.89,27.46,37.92,21.18,516,2235,23.1,105525763.412555,2.63,13.75,4,0.00229176254939986,2.47,1861,0.0806102575200173,8.72249847023451,0.000262741524945001,66.36,0.144268917261776,"0",0.248138957816377,6.9315,2.52187728545129e-05,NA,NA
"10040",47137,44571,1362,16181,21212,20114,10.51,7.67,0.89,0.32,10.68,6.12,11.77,69.48,20.98,4.89,0.05,2.82,722,7.51,32.14,34.64,20.23,1111,4378,25.4,159820627.980082,2.03,12.81,2,0.00420211958565966,2.75,2493,0.0982253034484306,15.0677658349045,0.000278881396996856,62.56,0.0448722263355096,"0",0.163398692810458,22.2855,2.12147569849587e-05,NA,NA
"10044",100441,11682,2520,4748,5339,5317,6.88,2.56,1.52,0.56,3.8,2.58,6.63,13.29,38.08,11.09,0,33.88,270,5.68,9.86,13.17,21.68,235,1036,22.7,63748819.0755057,1.14,17.42,1,0.00185275763037737,2.46,2012,0.088683444615648,10.1105213978505,0.000183250453410965,79.18,0.0856017805170348,"0",0.387596899224806,11.682,9.95609362710447e-06,NA,NA
"10065",127375,28109,2472,14844,16657,16409,7.86,6.6,4.69,1.44,33.9,8.34,2.72,6.58,80.7,2.05,0.1,9.37,1701,2.65,2.79,9.59,18.1,330,2892,11.4,272431793.791796,1.43,6.6,3,0.00265353928274536,1.89,1174,0.102885196912021,25.7180428579926,0.000103178118855988,34.76,0.106727382688819,"0",0.119904076738609,9.36966666666667,7.85083415112856e-06,NA,NA
"10069",110625,5085,3123,2552,2880,2880,3.12,3.82,5.45,7.08,15.38,7.6,3.4,1.12,61.42,2.91,0,30.15,31,1.83,2.86,13.06,11.84,54,453,11.9,50847547.5592308,0.35,8.26,1,0.0021379092298801,1.99,1062,0.0890855457227139,21.3780612081901,0.000100004823124982,51.77,0.196656833824975,"0",0.131578947368421,5.085,9.03954802259887e-06,NA,NA
"10075",137146,21556,2280,11035,12451,12436,12.26,10.44,5.97,1.45,17.18,6.59,0.91,14.24,75.9,3.14,0.42,4.86,1674,2.04,1.97,8.24,16.27,425,2546,16.7,205290486.610831,3.12,6.1,5,0.00397862219626609,1.95,1972,0.11811096678419,37.8907629760678,0.000105002430243462,43.6,0.231953980330302,"0",0.151745068285281,4.3112,7.29149956980153e-06,NA,NA
"10128",114010,59256,2198,30691,35808,35234,8.14,7.71,4.77,1.04,11.45,8.2,4,12.33,71.1,2.98,0,9.76,3320,3.07,4.91,10.9,16.91,631,4991,12.6,375576118.472596,1.17,9.64,9,0.00465657302441186,1.93,1065,0.084227757526664,29.5142706543271,0.000157773609890277,55.23,0.151883353584447,"0",0.121951219512195,6.584,8.77116042452416e-06,NA,NA
"10280",169844,9384,3332,4560,6099,6051,8.64,1.19,4.26,2.23,29.45,5.22,3.54,8.8,70.46,1.75,0,15.71,425,3.8,2.13,6.77,10.71,52,494,10.5,27961593.7958176,2.1,4.53,1,0.00310529203445237,2.06,554,0.0526427962489344,9.25286812497285,0.000335603187304853,43.43,0.106564364876385,"0",0.191570881226054,9.384,5.88775582299051e-06,NA,NA
"10282",250001,5593,3501,2231,2895,2815,8.63,0.82,1.95,6.11,31.79,4.9,3.25,7.58,66.96,0.8,0,20.79,10,1.36,1.12,5.49,4.54,71,361,19.7,17524312.802875,0.9,1.55,0,0.00311537758845356,2.51,1269,0.0645449669229394,9.76128220259731,0.000319156594778564,45.29,0,"0",0.204081632653061,0,3.999984000064e-06,NA,NA
"10301",55802,38733,1291,14489,16648,16351,47.44,21.5,0.06,0.57,6.09,3.16,5.21,24.76,42.49,21.17,0.06,5.99,932,6.18,21.08,29.96,23.22,1176,4592,25.6,301620418.124587,11.23,7.42,4,0.000394946238041497,2.67,3036,0.118555237136292,3.07551311426456,0.000128416372607775,19.76,0.103271112488059,"0",0.316455696202532,9.68325,1.79205046414107e-05,NA,NA
"10302",64103,18204,1325,6149,7773,7626,61.89,23.83,0.2,0,3.07,3.45,4.39,41.08,31.21,19.24,0.05,6.97,229,10.81,21.06,23.29,25.93,633,1987,31.9,125575926.942221,15.68,5.48,4,0.000554010382064414,2.96,3477,0.109151834761591,3.82170771607081,0.000144964090198401,4.63,0.219731927049,"0",0.289855072463768,4.551,1.55998939207213e-05,NA,NA
"10303",62558,25947,1009,8156,10564,10442,54.99,33.23,0.3,0.12,4.36,0.88,4.51,38.94,17.66,32.92,0.19,8.09,224,8.08,23.41,30.11,25.74,870,2955,29.4,132797868.467888,14.7,8.75,2,0.000303714631151242,3.18,3353,0.113885998381316,1.55442462093482,0.000195387172244216,5.52,0.0770802019501291,"0",1.13636363636364,12.9735,1.5985165766169e-05,NA,NA
"10304",52199,41064,1034,14172,16557,16367,53.82,26.43,0.14,0.77,1.75,3.2,7.3,25.24,37.84,25.17,0.24,9.54,735,6.18,25.76,24.66,26.18,1380,4909,28.1,327456426.695593,15.73,7.17,4,0.000393437006245497,2.9,3361,0.11954510033119,3.13738252958703,0.000125402944185223,12.47,0.0974089226573154,"0",0.3125,10.266,1.91574551236614e-05,NA,NA
"10305",76489,42298,1292,14663,18589,18274,57.28,25.35,0.11,0.59,3.09,2.88,6.53,16.36,62.34,6.21,0.21,12.78,689,4.78,12.75,20.81,25.62,1228,4618,26.6,269184979.069598,13.92,6.71,4,0.000377145836137279,2.88,2903,0.109177738900184,2.4001606224124,0.000157133582067608,9.41,0.0945671190127193,"0",0.347222222222222,10.5745,1.30737753140975e-05,NA,NA
"10306",79569,53142,1361,20007,24890,24576,66.86,19.31,0.34,0.01,2.08,2.27,4.57,14.71,74.62,3.11,0.05,5.83,1353,4.14,9.18,15.74,26.34,1448,6102,23.7,437863681.836362,17.32,5.01,4,0.000254208426187933,2.66,2725,0.11482443265214,2.09455115435014,0.000121366539871786,6.95,0.075270031237063,"0",0.440528634361233,13.2855,1.25677085297038e-05,NA,NA
"10307",80893,15232,1198,5314,6584,6538,76.46,14.5,0,0,1.56,1.94,5.51,9.18,87.27,0.37,0.12,2.74,151,4.36,3.44,12.47,27.07,378,1439,26.3,151031621.572455,20.44,4.1,2,0.000301825860190897,2.87,2482,0.0944721638655462,2.99272906362475,0.000100853052105335,2.72,0.131302521008403,"0",0.515463917525773,7.616,1.23620090737147e-05,NA,NA
"10308",93963,30186,1664,10648,13831,13634,68.98,18.41,0.03,0.45,1.25,2.08,6.9,9.57,83.71,1.03,0.17,4.98,629,2.78,4.16,10.57,25.43,631,2662,23.7,210348735.013125,17.29,4.78,2,0.000550613905501864,2.83,2090,0.0881865765586696,3.83690911359416,0.000143504547332393,6.13,0.0662558802093686,"0",0.480769230769231,15.093,1.06424869363473e-05,NA,NA
"10309",103175,33531,1389,11464,16124,15839,72.91,18.99,0.09,0.09,1.24,1.58,2.96,9.27,85.04,0.58,0.49,3.6,859,2.51,5.73,12.79,25.57,838,3365,24.9,309366162.049647,16.43,4.53,6,0.000180192354720116,2.92,2499,0.100354895469864,1.66250386837407,0.000108386126581675,3.66,0.178938892368256,"0",0.632911392405063,5.5885,9.69227041434456e-06,NA,NA
"10310",72093,23262,1237,8346,9976,9838,58.08,21.86,0,0.23,6.04,3.21,4.93,31.6,41.6,18.86,0,6.23,520,8.44,19.53,27.08,26.92,718,2865,25.1,188885348.27172,16.26,6.19,0,0.000474290390255448,2.79,3087,0.123162238844467,3.85119532049395,0.00012315407316049,9.7,0,"0",0.311526479750779,0,1.38709722164427e-05,NA,NA
"10312",95064,61741,1238,21382,28609,28178,72.81,16.18,0.07,0,0.92,3.41,4.82,10.1,82,1.21,0.02,5.44,1751,2.8,4.32,11.89,26.47,1494,5966,25,535585469.196752,18.69,4.14,2,0.000286913657842479,2.89,2420,0.0966294682625808,2.48889370198928,0.000115277586026739,4.84,0.0323933852707277,"0",0.293255131964809,30.8705,1.05192291508878e-05,NA,NA
"10314",86742,90761,1401,31362,41148,40549,67.64,24.45,0.25,0.09,2.37,2.18,4.77,15.12,62.47,3.69,0.06,16.42,2645,4.3,7.72,14.91,25.95,2639,10151,26,576891505.017848,17.13,4.46,10,0.00022664865690401,2.89,2908,0.111843192560681,1.44061529502351,0.000157327676366446,2.32,0.110179482376792,"0",0.458715596330275,9.0761,1.15284406631159e-05,NA,NA
"10451",28921,47798,1042,19123,18857,18331,17.61,13.79,0.8,0.06,10.61,2.92,9.39,59.07,2.64,35.38,0,1.17,619,9.78,39.46,49.3,27.13,1603,5575,28.8,185797038.213281,5.14,16.34,11,0.00165623828153819,2.5,3354,0.116636679358969,6.43801345841352,0.00025725921392316,52.53,0.230135152098414,"0",0.342465753424658,4.34527272727273,3.45769510044604e-05,NA,NA
"10452",28277,76078,1139,26126,30533,29714,15.95,15.3,1.3,0.47,8.63,3.15,11.51,68.12,1.9,27.03,0.12,1.35,674,11.84,47.28,53.47,25.1,2393,8242,29,301312634.446709,4.71,15.08,10,0.00275718532396695,2.91,3145,0.108336181287626,10.9200396122701,0.00025248858263013,52.94,0.131444044270354,"0",0.317460317460317,7.6078,3.53644304558475e-05,NA,NA
